Mouse	Cell line	Trial	Day	Length	Width	Area
MKS087-D-5	LLC-A9F1	Trial 2	15	5.01	3.33	16.68
MKS087-C-1	LLC-A9F1	Trial 2	16	9.55	6.83	65.23
MKS087-C-2	LLC-A9F1	Trial 2	16	6.21	3.96	24.59
MKS087-C-3	LLC-A9F1	Trial 2	16	9.48	6.54	62
MKS087-C-4	LLC-A9F1	Trial 2	16	5.79	4.87	28.2
MKS087-C-5	LLC-A9F1	Trial 2	16	11.16	7.22	80.58
MKS087-D-1	LLC-A9F1	Trial 2	16	4.59	3.47	15.93
MKS087-D-2	LLC-A9F1	Trial 2	16	4.56	3.34	15.23
MKS087-D-3	LLC-A9F1	Trial 2	16	8.16	6.92	56.47
MKS087-D-4	LLC-A9F1	Trial 2	16	5.72	4	22.88
MKS087-D-5	LLC-A9F1	Trial 2	16	5.01	3.39	16.98
